computers_accessories price,computers_accessories,telephony  price,telephony,electronics price,electronics,computers price,computers
220,6,"31,77",2,"16,22",1,,
99,95,"28,99",50,"29,5",5,,
"132,01",1,432,1,199,5,,
"15,99",4,"25,9",7,232,1,,
"149,87",25,"229,99",3,335,1,,
110,27,78,3,15,53,,
222,2,"29,98",68,"13,3",15,,
"149,88",8,"8,97",1,"32,9",5,,
"59,89",2,"9,89",1,"26,9",18,,
"64,89",8,"20,39",1,"67,7",4,,
"84,89",48,"19,49",1,430,1,,
55,3,"108,9",7,150,14,,
"44,9",20,"14,77",2,"38,89",1,,
"68,99",8,29,3,"48,99",5,,
"181,01",9,149,5,"38,99",23,,
"99,9",23,"17,49",2,70,1,,
"140,9",7,"59,9",26,379,2,,
"99,5",1,"19,95",3,"42,5",1,,
49,34,"966,9",1,139,3,,
61,2,"94,9",1,159,2,,
"349,9",1,"13,47",7,"9,15",1,,
"274,9",1,"13,77",12,"33,9",1,,
"82,9",3,"12,47",9,189,1,,
83,3,"16,49",3,"77,97",1,,
"83,49",18,"12,87",2,119,4,,
"183,99",1,"18,49",11,98,1,,
35,15,"11,9",3,"564,9",1,,
"31,9",213,"11,97",9,"139,9",8,,
"22,32",47,"283,2",5,"149,9",3,,
"28,9",53,104,6,"22,8",7,,
"190,32",6,105,1,"24,5",3,,
"1129,34",1,295,2,"27,89",1,,
"1180,95",2,335,1,"179,9",2,,
"1158,25",1,289,20,"159,9",1,,
"517,99",1,"235,9",14,"29,9",32,,
"516,49",1,"114,9",3,"12,97",1,,
"499,9",1,"879,33",1,"11,97",1,,
"185,89",1,499,1,62,2,,
"228,91",3,"789,99",1,"62,9",1,,
75,40,259,1,"95,9",6,,
"93,99",1,"10,9",1,"18,99",1,,
"33,89",2,290,8,"289,9",2,,
"38,9",47,280,12,115,1,,
30,22,"25,49",1,"24,12",3,,
"76,9",10,"35,9",2,"27,97",1,,
"39,99",25,"304,99",2,34,2,,
"189,9",4,"294,9",1,141,2,,
"210,9",1,"13,9",1,"598,97",1,,
"42,79",15,"12,9",4,"19,65",5,,
"53,99",15,"12,98",16,"5,99",11,,
"99,99",39,"12,67",9,"3,99",1,,
369,2,"70,9",20,1850,1,,
467,3,110,12,89,6,,
"34,5",16,117,2,76,3,,
"31,08",1,"18,95",17,"115,99",1,,
"127,9",11,"11,99",22,105,2,,
"132,9",1,"11,95",3,"198,9",2,,
"61,65",1,22,1,"187,9",1,,
"51,9",6,48,5,233,2,,
"99,49",1,"91,89",2,359,5,,
"243,9",1,"59,99",6,60,9,,
"259,9",3,75,11,"12,25",70,,
"199,5",1,"89,9",4,"11,89",2,,
"30,1",2,250,3,"11,9",7,,
"29,74",2,779,1,"27,9",7,,
469,1,14,9,"169,9",3,,
"74,9",97,"11,87",11,"22,89",1,,
"299,99",6,"14,87",1,"48,94",1,,
"190,9",4,640,1,92,6,,
32,5,"33,99",2,25,1,,
"34,9",18,179,1,"58,66",1,,
"26,9",23,"17,5",1,80,1,,
"809,91",1,"29,87",2,24,2,,
"79,99",46,"37,87",2,"14,5",2,,
"29,35",6,"33,87",2,120,4,,
"98,79",3,"73,99",8,"64,4",1,,
"217,91",3,"272,01",1,"25,32",1,,
"199,99",6,129,3,"19,6",1,,
"58,38",1,80,6,"80,5",1,,
"24,98",13,"41,99",3,"35,99",6,,
479,2,180,8,35,4,,
250,3,"269,9",2,95,3,,
"69,5",1,17,29,"88,9",4,,
"65,9",25,"21,9",16,"87,99",1,,
"289,75",1,"18,98",9,"42,95",5,,
"59,49",5,"17,77",1,"65,6",1,,
"50,9",5,589,1,"27,99",4,,
58,6,"179,9",2,"169,99",1,,
"145,99",1,120,2,"415,99",8,,
"127,99",1,109,1,"178,5",1,,
"118,99",1,135,2,52,8,,
"119,9",4,"13,99",6,69,1,,
"38,5",4,"13,5",3,129,3,,
"101,08",2,50,2,50,3,,
102,2,"39,89",1,"669,99",1,,
"32,8",1,"23,99",25,"639,99",1,,
"22,44",1,21,1,"659,99",1,,
"30,5",1,"149,99",7,"16,89",1,,
279,12,"319,99",1,175,4,,
"28,99",4,"329,22",3,14,7,,
"35,7",6,930,1,16,3,,
"47,9",1,"279,9",6,"16,8",3,,
"255,91",1,"179,99",1,10,10,,
"211,5",2,378,1,28,1,,
"175,9",11,"44,9",1,"64,99",1,,
15,21,"31,71",1,279,1,,
"72,89",2,"22,9",3,49,24,,
"41,79",3,"839,99",5,154,1,,
282,1,"79,99",8,"5,3",4,,
"62,49",1,"21,8",1,"42,89",1,,
"36,9",25,"89,99",1,121,1,,
"314,91",1,108,1,385,1,,
"140,6",2,"219,99",2,395,1,,
"544,99",1,"212,4",9,"68,3",1,,
"16,9",9,174,13,"97,9",39,,
"195,91",2,"169,99",4,"103,9",30,,
352,1,"74,99",2,"102,74",1,,
"257,13",1,"161,99",1,"94,9",1,,
"508,72",1,"51,9",4,"119,99",16,,
"24,49",2,"259,99",12,148,1,,
"21,49",5,"249,99",2,"104,45",2,,
"92,89",1,890,3,"14,6",22,,
"21,9",8,"42,99",5,"13,89",1,,
"82,99",4,"34,97",5,72,9,,
59,46,"39,97",4,"75,6",1,,
208,3,"32,97",1,13,1,,
"45,22",1,"32,98",2,"299,9",6,,
"120,9",1,430,1,"269,9",4,,
650,1,"209,99",1,117,1,,
"238,81",4,"214,99",1,"49,89",1,,
40,29,"82,99",2,"29,1",7,,
"18,9",45,"21,96",3,"12,3",14,,
"89,9",78,"38,9",3,"258,9",1,,
"53,2",1,"21,94",1,299,2,,
125,8,"24,77",1,65,7,,
128,5,"23,97",1,"99,9",6,,
"109,9",37,"19,87",2,99,2,,
"31,5",4,"499,9",1,"749,9",2,,
"25,9",9,145,7,"144,9",1,,
136,1,"119,99",20,776,1,,
118,5,"209,9",1,55,3,,
"12,9",4,"29,77",1,"249,9",1,,
399,4,"29,67",1,750,1,,
74,5,"69,9",6,26,1,,
"249,9",3,"20,89",8,"18,89",1,,
"126,12",12,"99,9",5,"19,5",3,,
"189,4",2,"159,9",2,"12,65",4,,
160,12,"35,99",6,"699,9",1,,
"169,5",1,"19,5",3,109,1,,
22,31,"25,97",1,"145,99",2,,
"93,24",1,148,3,499,2,,
186,4,"18,3",1,"97,89",1,,
"335,9",2,"10,87",1,"98,7",1,,
360,2,"114,99",2,"135,9",5,,
350,1,"113,1",1,"124,9",1,,
"175,91",12,175,1,749,1,,
242,1,989,7,12,10,,
"222,98",1,100,1,11,1,,
"8,9",4,"131,99",9,"59,89",2,,
"149,9",307,55,12,550,1,,
87,16,"45,5",1,356,2,,
71,2,"9,88",2,"31,9",1,,
"93,9",4,"21,49",1,"25,99",1,,
195,9,79,2,47,2,,
62,6,"169,9",1,29,24,,
669,1,"121,5",1,"25,89",6,,
"714,3",1,"6,9",6,"27,5",3,,
"75,9",24,"10,99",13,"26,89",2,,
"1298,99",1,"73,5",1,"499,9",1,,
"1199,9",1,"11,77",1,"13,7",25,,
270,2,140,3,"13,69",7,,
155,26,"549,9",2,"11,99",8,,
90,14,"1079,9",1,149,1,,
"13,95",1,"79,49",5,"11,5",2,,
88,27,855,4,"125,7",2,,
"109,89",22,161,1,"10,9",6,,
"89,5",8,949,1,"16,59",3,,
"89,15",6,155,4,"167,99",1,,
86,9,"164,99",1,"149,99",1,,
167,8,"174,99",1,"58,99",2,,
"89,49",17,85,3,"39,99",2,,
82,9,"12,89",1,"74,31",2,,
60,8,"18,89",1,"45,49",10,,
"46,86",8,"53,9",1,"155,5",1,,
"14,9",2,"66,74",1,"157,5",1,,
"95,15",3,"84,9",2,"12,95",6,,
"111,9",1,60,3,"63,99",3,,
"111,92",1,"18,77",3,"11,55",24,,
"139,9",29,809,2,"69,99",1,,
"69,89",1,"23,9",1,"75,9",1,,
"17,99",6,18,6,"319,99",1,,
259,4,98,4,"116,8",1,,
36,5,"70,89",4,"65,5",1,,
1980,1,649,4,"52,5",2,,
46,7,715,1,27,1,,
"16,55",1,916,1,"22,5",2,,
"78,85",1,"1224,99",1,"189,7",1,,
"416,99",1,"118,99",1,"26,99",1,,
"426,99",2,"24,07",2,"129,99",3,,
419,1,"227,9",1,1129,1,,
"374,9",1,"254,9",8,"18,98",1,,
"1199,99",2,2428,1,"19,86",2,,
"219,99",1,"94,99",3,"349,9",1,,
"366,3",1,"38,95",4,36,1,,
"159,9",6,"41,98",2,"272,25",1,,
"49,38",1,"142,99",10,"14,7",1,,
"114,9",1,150,6,"27,45",1,,
"55,2",1,"14,67",2,"18,16",1,,
"57,5",1,249,5,329,2,,
"84,9",32,235,3,"369,9",6,,
84,34,219,19,210,2,,
94,14,"215,94",3,"17,19",1,,
85,28,"1520,88",1,"38,8",1,,
"83,9",4,"1325,9",1,"82,88",1,,
"129,99",5,"29,89",2,90,1,,
"25,86",1,13,3,"45,9",2,,
"699,9",1,"43,99",8,"49,9",1,,
"287,1",1,"119,9",1,"28,5",1,,
244,1,220,1,"13,62",1,,
"234,9",1,72,1,"23,99",1,,
233,1,"8,5",1,"38,9",3,,
728,1,"239,9",4,"1608,99",1,,
"389,89",1,"45,99",4,"60,9",6,,
"56,99",3,"45,95",1,"69,5",5,,
"13,99",8,"28,89",2,"49,41",1,,
"47,99",4,"107,54",1,113,3,,
"179,9",50,"107,53",2,1199,1,,
"149,99",66,"24,98",1,20,9,,
"119,5",10,27,1,17,3,,
"138,9",5,"32,99",7,"36,5",4,,
"172,99",4,"19,8",1,"24,35",1,,
"124,9",17,"79,95",1,"110,9",1,,
"124,88",6,89,5,"57,9",1,,
"147,9",5,1099,5,,,,
"139,8",4,"8,99",1,,,,
"167,5",1,"63,99",1,,,,
"123,9",3,"1005,55",1,,,,
"170,9",6,"201,6",1,,,,
"134,9",10,260,1,,,,
123,1,76,8,,,,
"19,69",5,"54,9",5,,,,
"195,9",25,"13,97",1,,,,
"189,59",4,"118,9",3,,,,
56,11,"29,5",3,,,,
"98,32",1,999,1,,,,
"244,99",1,"129,89",1,,,,
95,28,65,4,,,,
"79,95",1,"63,9",1,,,,
"154,88",3,216,4,,,,
"170,7",1,"38,7",2,,,,
"154,89",1,"69,89",1,,,,
"254,9",2,"117,7",1,,,,
"2999,89",5,"125,55",1,,,,
"1299,99",1,"47,9",5,,,,
480,1,"7,9",1,,,,
"248,99",5,"799,9",1,,,,
"248,91",1,899,1,,,,
239,1,90,1,,,,
"275,49",1,"79,5",1,,,,
690,2,159,1,,,,
"65,5",6,"31,89",6,,,,
"37,9",9,"18,07",1,,,,
"217,9",3,"19,57",1,,,,
"8,5",5,315,4,,,,
"84,95",2,127,1,,,,
"145,9",1,"669,99",2,,,,
150,10,679,3,,,,
"87,5",2,"274,99",5,,,,
"12,99",10,"269,99",1,,,,
"74,49",1,450,1,,,,
"56,9",1,"14,89",1,,,,
"41,9",23,"64,99",1,,,,
"49,3",5,70,1,,,,
"47,75",5,170,79,,,,
"44,98",2,160,1,,,,
180,68,"44,5",1,,,,
153,1,"58,86",1,,,,
"129,5",1,"107,9",1,,,,
"517,65",1,"42,89",2,,,,
339,7,"19,94",1,,,,
"73,9",5,"364,98",4,,,,
"55,99",3,"453,96",1,,,,
"81,5",8,124,1,,,,
"41,5",2,"46,99",3,,,,
145,10,"59,5",1,,,,
"749,9",2,320,1,,,,
"769,9",1,689,1,,,,
"72,9",10,"69,8",1,,,,
"219,9",13,"309,9",2,,,,
299,11,"113,4",1,,,,
"147,99",1,"34,49",1,,,,
"279,89",1,"42,5",2,,,,
"320,36",1,"211,05",3,,,,
"181,5",1,"229,9",4,,,,
"399,5",1,"2299,99",1,,,,
"19,17",1,"10,49",3,,,,
"43,9",3,,,,,,
"81,9",3,,,,,,
154,3,,,,,,
"359,91",1,,,,,,
"42,99",7,,,,,,
"83,23",3,,,,,,
196,12,,,,,,
197,3,,,,,,
"37,89",1,,,,,,
"32,5",8,,,,,,
"154,91",6,,,,,,
"149,91",14,,,,,,
"215,45",2,,,,,,
"143,9",2,,,,,,
"18,65",1,,,,,,
100,36,,,,,,
"149,89",5,,,,,,
"389,9",2,,,,,,
"98,44",23,,,,,,
"110,44",4,,,,,,
"11,5",3,,,,,,
280,2,,,,,,
"165,5",4,,,,,,
"14,7",2,,,,,,
"93,65",1,,,,,,
"207,3",2,,,,,,
"195,3",2,,,,,,
"119,86",2,,,,,,
"55,9",4,,,,,,
235,5,,,,,,
"81,4",1,,,,,,
"9,9",2,,,,,,
358,1,,,,,,
142,2,,,,,,
152,1,,,,,,
"432,49",1,,,,,,
"404,88",1,,,,,,
"177,99",2,,,,,,
"180,9",1,,,,,,
"89,89",2,,,,,,
309,5,,,,,,
170,5,,,,,,
551,3,,,,,,
"61,9",30,,,,,,
"74,89",7,,,,,,
"218,36",2,,,,,,
"215,42",1,,,,,,
"213,39",1,,,,,,
"215,49",1,,,,,,
"205,9",1,,,,,,
"86,42",5,,,,,,
97,15,,,,,,
10,3,,,,,,
"148,99",1,,,,,,
459,2,,,,,,
"52,9",1,,,,,,
"55,89",2,,,,,,
"329,9",2,,,,,,
"49,76",1,,,,,,
"116,89",1,,,,,,
"220,91",9,,,,,,
"220,89",3,,,,,,
268,1,,,,,,
275,7,,,,,,
"120,99",2,,,,,,
"21,99",3,,,,,,
"159,99",19,,,,,,
"229,9",10,,,,,,
439,1,,,,,,
140,19,,,,,,
"86,6",2,,,,,,
"82,8",11,,,,,,
"97,9",5,,,,,,
"89,8",21,,,,,,
"94,22",1,,,,,,
"97,79",4,,,,,,
73,4,,,,,,
"87,8",8,,,,,,
"72,99",2,,,,,,
81,2,,,,,,
"89,79",5,,,,,,
"86,8",3,,,,,,
"86,79",1,,,,,,
"249,5",3,,,,,,
"312,9",1,,,,,,
188,1,,,,,,
"155,4",1,,,,,,
"204,89",1,,,,,,
1189,1,,,,,,
205,1,,,,,,
"34,4",1,,,,,,
"218,2",1,,,,,,
"830,51",1,,,,,,
"750,5",1,,,,,,
714,1,,,,,,
51,3,,,,,,
"63,99",6,,,,,,
"133,9",6,,,,,,
134,7,,,,,,
"190,87",2,,,,,,
"166,02",1,,,,,,
"695,72",1,,,,,,
68,8,,,,,,
63,5,,,,,,
"198,9",2,,,,,,
25,11,,,,,,
190,5,,,,,,
"54,6",5,,,,,,
"17,5",13,,,,,,
187,6,,,,,,
"275,9",1,,,,,,
"101,34",3,,,,,,
"102,11",1,,,,,,
"21,5",1,,,,,,
"255,9",2,,,,,,
156,2,,,,,,
"157,9",1,,,,,,
"42,9",6,,,,,,
"136,9",1,,,,,,
"25,89",7,,,,,,
53,1,,,,,,
"18,89",2,,,,,,
"19,7",1,,,,,,
"172,5",2,,,,,,
7,1,,,,,,
"79,89",1,,,,,,
"123,89",1,,,,,,
"184,99",1,,,,,,
"49,5",6,,,,,,
262,1,,,,,,
"225,49",1,,,,,,
"295,49",1,,,,,,
"265,35",2,,,,,,
"865,89",1,,,,,,
"523,19",2,,,,,,
"615,52",1,,,,,,
"148,91",2,,,,,,
487,1,,,,,,
"759,9",1,,,,,,
"639,92",1,,,,,,
"529,9",1,,,,,,
"298,13",2,,,,,,
"234,91",1,,,,,,
"271,92",1,,,,,,
"52,99",4,,,,,,
"36,79",1,,,,,,
"499,99",5,,,,,,
"580,27",14,,,,,,
"109,99",17,,,,,,
"179,5",4,,,,,,
"88,99",1,,,,,,
1699,1,,,,,,
"217,01",1,,,,,,
"229,7",1,,,,,,
"258,64",1,,,,,,
33,1,,,,,,
"39,95",7,,,,,,
"295,89",1,,,,,,
"30,21",32,,,,,,
"40,9",3,,,,,,
"40,5",7,,,,,,
"221,5",1,,,,,,
173,4,,,,,,
