_year,_month,max_per_month
2016,9,59.5
2016,10,1199
2017,1,2303.959976196289
2017,2,3699.989990234375
2017,3,8999.669677734375
2017,4,2951
2017,5,6836.199859619141
2017,6,5317.629989624023
2017,7,7379.97998046875
2017,8,34576
2017,9,64337.55995178223
2017,10,41707.999938964844
2017,11,20339.959838867188
2017,12,20152.39990234375
2018,1,7450
2018,2,10607.9995803833
2018,3,8034.7996826171875
2018,4,6984.929931640625
2018,5,10566.199615478516
2018,6,8537
2018,7,9227.799987792969
2018,8,16608
